,fold0,fold1,fold2,fold3,fold4,fold5,mean,std
assay_23,0.6571798214310292,0.6417187144631641,0.7244277224142995,0.7032445668809305,0.6867540313692567,0.7308161865569271,0.6906901738526011,0.03589588454017781
assay_20,0.6331816773871732,0.6733539094650206,0.7003014642549527,0.728368053985338,0.6732819669371477,0.6750685871056241,0.680592609855876,0.031796501793820854
assay_19,0.6524697612168061,0.8137924142490354,0.7169329460179132,0.5914370742368231,0.6677508770853151,0.6067742956631845,0.6748595614115129,0.08150982592773826
assay_26,0.7867396743365735,0.600661162657942,0.6219870664315109,0.7121002990568208,0.6590584204619292,0.5935835501052892,0.6623550288416776,0.07499629507104043
assay_25,0.6308479532163743,0.6438301425418977,0.6411021166630142,0.650841585873433,0.6466419576277554,0.717574166206007,0.6551396536880804,0.03131707770059947
assay_22,0.5897032622234837,0.6733416617675877,0.6617949037702124,0.6372416008385424,0.6622368541380887,0.6772526674487459,0.6502618250311102,0.032785556066235594
assay_17,0.56426685660019,0.6236270448268537,0.5548767335338078,0.6522809121959323,0.7131037208556589,0.6373823065272879,0.6242562624232885,0.0587608520246424
assay_2,0.5891145508122735,0.6043631315384996,0.6641025641025642,0.672779736882301,0.6735953330352608,0.4980957493034788,0.6170085109457296,0.06871473121982724
assay_24,0.5712551440329218,0.5665439318460761,0.5987279452191733,0.5764969440183116,0.5606360818980847,0.770870076425632,0.6074216872400332,0.08113593460586284
assay_0,0.6228426717315605,0.5467236467236467,0.5799111725037651,0.6235004658746797,0.5962785049042358,0.6047785762545298,0.5956725063320696,0.02912150911218506
assay_28,0.5801621606350822,0.5869579342882165,0.5514402225231021,0.6136374688327062,0.5803666453810132,0.6215340195134038,0.5890164085289207,0.025428388914143896
assay_13,0.569558458909829,0.6144676949274651,0.4973936899862826,0.5608886118470037,0.647783912276666,0.564021164021164,0.5756855886614017,0.05142838219649721
assay_7,0.5785480859010271,0.5968805546158018,0.4952769996887644,0.5896779409783048,0.6244898286465725,0.5349254283962187,0.5699664730377816,0.046831063153555376
assay_8,0.5549716249304726,0.5509026671173564,0.5897195744613585,0.5734209823098712,0.5732288146840964,0.5660097380661229,0.5680422335948797,0.0141030156785383
assay_18,0.5765310969556192,0.5323829255291066,0.5811960462964154,0.558265994539743,0.580647550244522,0.5789346795463003,0.567993048851951,0.019441036820838666
assay_15,0.618372111427667,0.5284661429105874,0.5586878954505841,0.5318954653749977,0.5398678274382944,0.5451652480637987,0.5537424484443215,0.033417679597862876
assay_10,0.5355498759453562,0.4960500068413738,0.5534006734006733,0.5881617624307682,0.5114023850041747,0.6323741617859265,0.5528231442347121,0.05062558659707733
assay_16,0.5315687632320216,0.5552438864807837,0.5577881056141927,0.5690540584049713,0.5150472378246929,0.5673769836665764,0.5493465058705398,0.0215035503233634
assay_21,0.56689195976294,0.5444707118465983,0.579536101758324,0.5623352607178205,0.4766716706623946,0.5241040899955629,0.5423349657906067,0.03751153646009725
assay_27,0.525627835813021,0.5249427141788252,0.5501614594690009,0.5275285712561698,0.5959028625695293,0.5254262198706643,0.5415982771928683,0.028334681660414165
assay_6,0.6062801932367149,0.5730402974095942,0.5016639828234031,0.5296357717584915,0.6341376730265619,0.3647119341563786,0.534911642068524,0.09643054692351159
assay_9,0.5245560651862476,0.5188311950294522,0.5263674270296786,0.5441186665934141,0.5099014060356653,0.5803628214958659,0.5340229302283873,0.025338407314273056
assay_4,0.6064598678977764,0.5366240394117734,0.5000532141336739,0.584010411170905,0.479129923574368,0.4719478737997256,0.5297042216647038,0.055966441585343626
assay_12,0.4923632319642647,0.5392885007082538,0.518311929521369,0.5287107660123533,0.542377560105027,0.5212152388078314,0.5237112045198499,0.018078484456288797
assay_14,0.5249606503464529,0.5085169029161192,0.530041775522825,0.5372744882174506,0.4970346484857856,0.5295813744152245,0.5212349733173097,0.015269406803229722
assay_3,0.4218135143807738,0.5436619202081845,0.5787475675503237,0.4592760180995475,0.5497700314693779,0.5582010582010583,0.5185783516515442,0.06272575262892861
assay_1,0.5460400407413895,0.5634383333065065,0.4634791711789762,0.5546190994253999,0.4802813087737015,0.4867191753156665,0.5157628547902734,0.04367041558110272
assay_11,0.4890429858983318,0.5539646175385008,0.5499067343563708,0.5186174422285534,0.4705851903615705,0.4368491112677158,0.5031610136085072,0.04617973825152129
assay_5,0.5246415770609318,0.4946356613023279,0.5068970511804649,0.5643163085339956,0.4634312473392933,0.412665752171925,0.49443126626482314,0.05215097324214579
