,fold0,fold1,fold2,fold3,fold4,fold5,mean,std
assay_23,0.6961024304019473,0.6698026557497506,0.7542765462228549,0.7107027060730764,0.7403784781521158,0.7882578875171469,0.726586784019482,0.04281657561175777
assay_19,0.6741935282124407,0.8130736589640699,0.7275296538368434,0.6602590035107299,0.6902472204322522,0.6526854489817453,0.7029980856563469,0.060114403135556195
assay_20,0.6308525316888518,0.7073400028380872,0.7007353175742494,0.7422782978338534,0.7040176347344212,0.682531162402338,0.6946258245119669,0.036800147494223556
assay_2,0.6340442779366176,0.662516733601071,0.7757597340930673,0.7119020580559041,0.7201828583942407,0.5854612376351508,0.6816444832860086,0.0680312791628399
assay_25,0.6557210342541726,0.690867775988549,0.6412898814741764,0.6471456356806675,0.6943676430936248,0.7133959830477243,0.6737979922564857,0.029585100017478695
assay_26,0.7901234567901234,0.6120185057383125,0.6699162095987492,0.6644199064488919,0.6554787642506941,0.6301663982823402,0.6703538735181853,0.06264099898243009
assay_22,0.6198697633350676,0.6342225161669606,0.6844244918318994,0.6862397031288963,0.6706502057613168,0.6886254026776902,0.6640053471503052,0.029653249789986853
assay_24,0.5825514403292181,0.6361177291651626,0.6119233268356075,0.585263106630628,0.5592389371538892,0.8756613756613756,0.6417926526293135,0.11759182602268041
assay_17,0.5849202279202279,0.5564773505181408,0.6184084478448987,0.6961294464483321,0.7237099678960145,0.6380777880158301,0.6362872047739073,0.06411687560324547
assay_18,0.6362305777625772,0.5899520091319536,0.6107650453586182,0.602450095254361,0.6031454678905135,0.6475910015155684,0.6150223661522652,0.022164270971325777
assay_7,0.6126197392537263,0.6395453739951349,0.5428908600477228,0.610489751306353,0.6539013575168586,0.5831510986150161,0.6070996967891352,0.039953449975841195
assay_28,0.5873511526400543,0.5903906639922404,0.5853557904979563,0.6072517957623804,0.6120171666530801,0.6324967195333774,0.6024772148465148,0.018346681477522785
assay_8,0.5919054843951963,0.5920247235501472,0.6219860577607056,0.6151290684624018,0.5940513467011026,0.5953788855944744,0.6017459277440046,0.013265393006020122
assay_10,0.5963868284287979,0.5485371462589688,0.6148054620276843,0.6303388099879328,0.5566119811086254,0.6557765642732963,0.6004094653475509,0.04193725016149049
assay_0,0.623463121240899,0.5645220006331118,0.5903311366274329,0.6093495224784533,0.5611791825242118,0.6270622197653706,0.5959845305449133,0.02874989608810364
assay_13,0.5579964286173097,0.6784392703932933,0.4837105624142661,0.5878655654251728,0.6508319914117017,0.6155202821869488,0.5957273500747821,0.0697176222069156
assay_15,0.6734805318138651,0.5355854844743734,0.574951441892457,0.523690855927698,0.534343678613558,0.5139406487232574,0.5593321069075348,0.059653723114414935
assay_9,0.5472213507039378,0.551571931927778,0.5499808510729853,0.5732097588158194,0.5340046296296297,0.5991963717850413,0.5591974823225319,0.023312905938658042
assay_12,0.5187381617833059,0.578756995938066,0.5164618985661267,0.5626710542054457,0.5989472284324912,0.5447910821174711,0.5533944035071511,0.03299533104015797
assay_16,0.5290204607178023,0.5617881225847683,0.5199406873319917,0.5372192487542684,0.5789791680117072,0.5691774847129297,0.5493541953522446,0.023879181308211504
assay_14,0.5439673243994232,0.5305295216060182,0.549683449446569,0.5435721925853839,0.5322856384630308,0.558560370637166,0.5430997495229318,0.010566999824311642
assay_21,0.5921860126948594,0.5766789247876718,0.5392817059483725,0.5146220763660988,0.4843942551141583,0.526635867721139,0.53896647377205,0.039943630871450524
assay_5,0.5091701775346371,0.5697492364159031,0.5444623367328681,0.6064787819889861,0.5010855683269476,0.4307596838461036,0.5269509641409076,0.06115709536784815
assay_27,0.5008045795082832,0.5186073699962589,0.5861640656636451,0.5365084537127548,0.559805626472293,0.4537343229472859,0.5259374030500868,0.046442927426125255
assay_11,0.584045584045584,0.5695467190312551,0.5170618437752393,0.5369776828110162,0.4894401739265471,0.4525095920444758,0.5249302659390196,0.049389475964826186
assay_6,0.637760095986865,0.5932834337289516,0.472463768115942,0.5424421104354769,0.6167789001122335,0.2438271604938271,0.517759244812216,0.1467029041385622
assay_1,0.5275831533056967,0.5220033157886266,0.4357086130965273,0.5834667910019122,0.4615834961616427,0.4645303197934776,0.49914594819131386,0.05490831164090274
assay_3,0.4103038286804816,0.5122021246052254,0.5301544007401027,0.4049494441651304,0.589118857419511,0.5239075053889869,0.4951060268332397,0.07281239559898568
assay_4,0.5299996541826607,0.550370960366978,0.4519831133815808,0.5345221764974852,0.4554967666078777,0.4075445816186557,0.48831954210920636,0.05769672185005323
