,fold0,fold1,fold2,fold3,fold4,fold5,mean,std
assay_23,0.6680213685044604,0.6364410387398893,0.7201605917489586,0.7147839222755048,0.7088520492753789,0.739190672153635,0.697908273782971,0.038145521087366255
assay_20,0.6212201666204055,0.7029789778831925,0.6844387022681597,0.74121494646186,0.7070818745777286,0.7129778732033161,0.6949854235024437,0.0405553067580931
assay_19,0.6562159930954257,0.7860338545270051,0.6801440329218108,0.6103322405896167,0.6637658923767733,0.6349372164186979,0.6719048716548883,0.06093191090703021
assay_25,0.6473314201140712,0.6452615256157929,0.6212127438088976,0.6419976343543222,0.6714537666918619,0.7146029113690806,0.6569766669923377,0.03244711204941031
assay_26,0.7584184405889832,0.6328672818205829,0.6477314572552668,0.65778697952611,0.6162443144899286,0.6052685907758372,0.6530528440761182,0.0551331075888214
assay_24,0.5747530864197531,0.6065651096190408,0.6202329184785325,0.5767769742128717,0.5977493268302596,0.8359788359788359,0.6353427085898823,0.09982546917829574
assay_22,0.5776492754994245,0.6211970899470899,0.6648210500062353,0.6320683344533624,0.6248998628257887,0.6738915889242686,0.6324212002760282,0.03450270373438987
assay_2,0.6070634372911806,0.5923546035995836,0.7421177587844254,0.6365097390738417,0.6542327825073986,0.5089844848298954,0.6235438010143876,0.07686080658512236
assay_17,0.5435593542260209,0.5762794183603617,0.5993823988428305,0.6260586111322294,0.7480545581320774,0.5944848670994891,0.6146365346321682,0.07084185928164176
assay_7,0.6140030086108517,0.6095323248433296,0.5312480547774665,0.5925967516274304,0.669122973012704,0.5857544517338331,0.6003762607676025,0.04483003264765667
assay_28,0.5928821651552392,0.5988817319735193,0.5550642250581754,0.6032509244437516,0.5776354582755903,0.6087104921837668,0.5894041661816738,0.019920450348375376
assay_0,0.6158784425451092,0.5137741373852485,0.5799951077728855,0.614512966845252,0.5936136637891023,0.578539401756649,0.5827189533490411,0.03743629620577234
assay_18,0.5840386140918397,0.5473948939743073,0.5964895711137497,0.5674123157686859,0.5795887247746522,0.5970476082606562,0.5786619546639818,0.01891986783962556
assay_13,0.5931321540062434,0.6573992206176116,0.4998628257887517,0.4979827887728776,0.6112836438923396,0.5799529688418578,0.5732689336532802,0.06327512546210347
assay_15,0.5952002215891106,0.5473718668163112,0.6146967902797806,0.5328110540098844,0.5607947092212453,0.5460930910206272,0.5661612888228266,0.03192418455951026
assay_8,0.5598167645492749,0.5556936597614563,0.5743551319138174,0.5735915771471327,0.5708592414558832,0.5478332244501398,0.5636915998796175,0.010895549709314915
assay_21,0.5824424450280061,0.5910668943174854,0.5131473464806798,0.5849976558837318,0.5173758150164683,0.5484300368021299,0.5562433655880835,0.035085269228362616
assay_9,0.5626488843735942,0.5337114269576143,0.542751593233759,0.5720805569290418,0.544548182441701,0.5784221069087061,0.5556937918074027,0.017935580099577773
assay_10,0.5350470382754483,0.4909033733973782,0.5565263748597082,0.6004096661406603,0.4963303950999701,0.6315913570815531,0.5518013674757863,0.05624559865661626
assay_6,0.6269773609927063,0.5698047752529771,0.4580515297906602,0.5440083532952522,0.6881967826412272,0.4161522633744856,0.5505318442245514,0.1018037665460166
assay_16,0.5551108514298698,0.5440514916405902,0.5317033208337556,0.5420274600712497,0.5153539070738374,0.5611783613291909,0.541570898729749,0.016485414421102813
assay_3,0.4310347739440306,0.5935027886207171,0.51926819153348,0.4942950114518741,0.5994190268700073,0.6068979031941995,0.5407362826023848,0.07107379302335583
assay_12,0.4863008310659485,0.5562227743297702,0.5005232042924603,0.5598194084966572,0.5540606991375894,0.5353096941638609,0.5320394352477144,0.03142446240010155
assay_14,0.5256851675987478,0.5096244617178548,0.5305252388524984,0.5304109806614926,0.5173097844329078,0.5373959351941751,0.525158594742946,0.010092881840702244
assay_27,0.4997845661425908,0.5180076225215113,0.5194971394158386,0.5022796664373725,0.502640569307236,0.5452184989222026,0.5145713437911253,0.017247591697735952
assay_1,0.520758321818052,0.541354537211411,0.4439914085625587,0.5505539901027343,0.5060348405537104,0.5006761147112024,0.5105615354932781,0.03795095293281091
assay_4,0.552961925510945,0.5255468531055947,0.5315737193131829,0.5532693187014175,0.4409758965314521,0.4486968449931413,0.5088374263592889,0.05087118083865375
assay_5,0.5125290825630384,0.5184671851338518,0.5139176443524269,0.5202173991289638,0.5184759472115794,0.4046639231824417,0.498045196928717,0.04584290463429062
assay_11,0.533695282122955,0.5154093710794743,0.5556084381369948,0.448292576764799,0.4060486062582498,0.4924438180252133,0.49191634873128115,0.055911831537016475
