,fold0,fold1,fold2,fold3,fold4,fold5,mean,std
assay_19,0.7392795883361921,0.9057971014492754,0.7495069033530573,0.7564102564102564,0.8165,0.6607142857142857,0.7713680225438445,0.08256347016531042
assay_20,0.6629098360655739,0.792803970223325,0.7590545177277926,0.830114566284779,0.7813765182186235,0.8005865102639297,0.7711409864640039,0.05792933213401439
assay_23,0.6647058823529411,0.7313008130081301,0.7707496653279785,0.783011272141707,0.7390873015873016,0.8640625,0.7588195724030098,0.06604191176465003
assay_25,0.7193513513513513,0.6997455470737914,0.7526073247635217,0.7111676202585294,0.7552483358934973,0.780388151174668,0.7364180550858932,0.03106049245351892
assay_24,0.6494252873563218,0.6991758241758242,0.6612903225806452,0.6793478260869565,0.6866666666666668,1.0,0.7293176544777359,0.13379391677602331
assay_26,0.8916666666666666,0.6904761904761905,0.7263922518159807,0.6714285714285715,0.724537037037037,0.6607142857142857,0.7275358338564554,0.08477711035646486
assay_22,0.6205985915492958,0.7169312169312169,0.7173507462686567,0.7221362229102167,0.7920433996383365,0.764957264957265,0.7223362403758312,0.05844706735925586
assay_17,0.5644305019305019,0.6938733125649014,0.6517218973359324,0.8092105263157895,0.7932869422840769,0.6549053356282272,0.6945714193432382,0.09298763873611456
assay_2,0.6025641025641026,0.6737864077669903,0.7529296875,0.7852684144818975,0.7726045883940621,0.5697674418604651,0.6928201070945863,0.0918431283620509
assay_7,0.6818565400843881,0.7136950904392765,0.528,0.6544117647058824,0.7856755290287574,0.6333333333333333,0.6661620429319396,0.08613213630770308
assay_18,0.6482597402597403,0.5958460413883497,0.6583410723886799,0.6616320798876579,0.6177151041092872,0.6662387676508345,0.6413388009474249,0.02827179644700329
assay_8,0.6256045519203415,0.6388888888888888,0.6645611702127661,0.672667604313174,0.6185990338164252,0.6131298449612403,0.6389085156854727,0.024705244400500412
assay_28,0.6011857707509881,0.6218978102189782,0.6117469879518073,0.6545454545454545,0.591038591038591,0.7392638036809817,0.6366130696978002,0.054819213989737645
assay_10,0.5504385964912282,0.5507046145344017,0.6574074074074074,0.6735897435897436,0.6079442086112795,0.7250639386189258,0.6275247515421644,0.0703645593198681
assay_0,0.6503703703703703,0.5809792843691148,0.6143790849673203,0.6011904761904762,0.5944986690328306,0.6341463414634146,0.6125940377322545,0.025890985735404264
assay_13,0.4320987654320987,0.75,0.5944444444444444,0.4982698961937716,0.7301587301587301,0.6111111111111112,0.6026804912233593,0.12497387280135623
assay_4,0.7153846153846154,0.5308641975308641,0.65,0.656,0.561904761904762,0.4833333333333333,0.5995811513589292,0.08808027511542665
assay_9,0.585589094449854,0.5554698051321629,0.5436934389140272,0.6768777236605998,0.5652173913043478,0.6212121212121212,0.5913432624455188,0.049962736101571356
assay_15,0.7012499999999999,0.4679979518689195,0.5244444444444445,0.6087239583333334,0.6765625,0.5515151515151515,0.5884156676936415,0.0904082618393411
assay_21,0.64375,0.6040848389630793,0.4816901408450704,0.7294552169898431,0.4756493506493506,0.588888888888889,0.5872530727227054,0.09726074258659217
assay_3,0.3377777777777777,0.6481481481481481,0.6306818181818181,0.5303030303030304,0.6454293628808865,0.6749999999999999,0.5778900228819435,0.12777597585769898
assay_12,0.4957816804407713,0.603132530120482,0.504155270355565,0.6128396536279487,0.5995902572274072,0.5173697270471465,0.5554781864698867,0.05505836612168492
assay_16,0.5568831168831169,0.6027434842249657,0.5590647163120568,0.5220615048012641,0.4768194768194768,0.6046013911182451,0.5536956150265209,0.04888095024542975
assay_6,0.5701754385964912,0.5599999999999999,0.4851851851851851,0.4613636363636363,0.7310606060606061,0.5,0.5512974777009864,0.09781334865696385
assay_11,0.4895833333333333,0.5196969696969698,0.4982876712328767,0.6730769230769231,0.393048128342246,0.7098214285714286,0.5472524090422962,0.12043423492372805
assay_14,0.547753351620755,0.520846471866022,0.5354387017151293,0.5650963149078727,0.5244383068520357,0.5890988682468503,0.5471120025347774,0.02618008495691985
assay_1,0.5932631578947368,0.6264880952380952,0.4380692167577413,0.5891917742706839,0.4464444444444444,0.5497427101200686,0.5405332331209617,0.07996590046455594
assay_5,0.5142857142857142,0.5272108843537415,0.5502958579881656,0.6223908918406073,0.5473684210526316,0.3796296296296296,0.5235302331917483,0.07983041992629367
assay_27,0.4339826839826839,0.5125786163522013,0.5697916666666666,0.548,0.5099206349206349,0.4957264957264957,0.511666682941447,0.04688581284449234
