,fold0,fold1,fold2,fold3,fold4,fold5,mean,std
assay_23,0.715886189316141,0.6517900359815019,0.7250310713397963,0.700229001575803,0.7292882594336819,0.763888888888889,0.7143522410893022,0.03716678607087673
assay_20,0.6471263812960348,0.7207018184029679,0.7126949947363385,0.7494799439243884,0.7169320293821245,0.718569213335719,0.7109173968462622,0.03391160439044416
assay_19,0.6749252629867287,0.8373998739295543,0.7138102154442023,0.6343819023040618,0.6619687624658628,0.6247335654743063,0.6912032637674527,0.07829564530995266
assay_26,0.7676674459620196,0.6026548747965818,0.6781402019497258,0.71759067556169,0.6904955992675291,0.6356579544985341,0.6820344586726801,0.05854213471150789
assay_25,0.6481292784899022,0.6635331305540645,0.6313075279421434,0.6456916049272737,0.6930222381350201,0.694704717154966,0.6627314162005616,0.026197354677594757
assay_24,0.6729835390946501,0.6300628113493612,0.5220172939471185,0.5855066111476368,0.5904841741604431,0.9232804232804231,0.6540558088299389,0.14113137891836
assay_2,0.6126775992200423,0.6262234121671872,0.7623258942703387,0.6908433446894985,0.721992584684545,0.5095979347187076,0.6539434616250532,0.09060456931666505
assay_22,0.6295429103006795,0.6129421418773271,0.6703412728104086,0.6467259225447061,0.6577997256515775,0.6966184384485038,0.6523284019388671,0.029724905787639495
assay_17,0.5216481481481481,0.6253965724807025,0.5344930404882443,0.669082594898393,0.7194350295125489,0.6322650455240294,0.6170534051753442,0.07669212855780798
assay_28,0.5593840050004237,0.6168554773945062,0.5574166898728301,0.6190558982875392,0.6218470625798213,0.6501138998237777,0.6041121721598164,0.03740980905756274
assay_7,0.6140440744198914,0.5978498434638786,0.5483102500259363,0.6190407269327451,0.6617794456071139,0.5831858099899337,0.6040350250732499,0.03804725234525166
assay_18,0.6201922391803115,0.5821963629721597,0.6000733948974115,0.5944798339062458,0.5975886752929728,0.6112009125770593,0.6009552364710268,0.01327383670349881
assay_0,0.6256600189933523,0.5386316872427983,0.5824987769432214,0.6010559826073453,0.6056421918995019,0.6070941588354524,0.5934304694202787,0.030183185120000587
assay_13,0.6211122673141404,0.6350001637357959,0.4995884773662551,0.5337385070905407,0.6362625565524116,0.5632569077013521,0.5814931466267493,0.057885757698424294
assay_8,0.5696908829624879,0.5676026526309013,0.5955124010053587,0.5927980332424777,0.5649857312355824,0.5698401929745213,0.5767383156752216,0.013632423065823194
assay_10,0.5450440063030862,0.555955835931855,0.5780101945379723,0.6012698412698413,0.5624916346392856,0.6110246567762907,0.5756326949097218,0.026119115060342275
assay_3,0.445027106449815,0.615426906371983,0.5424283025488882,0.4471747388414055,0.6199588477366255,0.6368802665098962,0.5511493614097688,0.0875954887969653
assay_16,0.5421509541482274,0.5196766894880103,0.5347116651464477,0.5618947714312229,0.5632438074332321,0.5599568997004895,0.546939131224605,0.01774629106150445
assay_9,0.5325603381158937,0.5392195286893906,0.5394826490639977,0.5581079507847184,0.5319984567901235,0.5635769777159602,0.5441576501933474,0.013418684579393261
assay_4,0.6217795760279421,0.532258064516129,0.5794309635305803,0.5488375364918574,0.5787184009406231,0.3956104252400548,0.5427724944578645,0.07833528333284377
assay_6,0.6265668908465157,0.5402725591936542,0.5474503488996243,0.4898347767336158,0.6316685372240928,0.4092078189300411,0.5408334886379239,0.08434631625557032
assay_15,0.566267014878126,0.5214945753834642,0.5348055135435108,0.5752628625435643,0.5089339595298064,0.5280039874242772,0.5391279855504583,0.02610478771478631
assay_21,0.547653555660788,0.5476972244111724,0.5511837956282402,0.5826952127936657,0.4714585527249371,0.5328217576279591,0.5389183498077937,0.036900460737832416
assay_12,0.4981672743874976,0.5532088320154164,0.5321287826368128,0.5627430770287913,0.5364342454261293,0.5350534667664297,0.5362892797101795,0.022173046327442977
assay_14,0.5215578945517217,0.5107153533201493,0.5382987780764749,0.5313033039777132,0.5176290668776576,0.5385024411802576,0.526334472997329,0.011475626552696612
assay_27,0.5147484260138582,0.5215558361391694,0.5094098163203854,0.5227640804701736,0.5425981425981425,0.5442141877327062,0.5258817482124059,0.01441683010147046
assay_1,0.5277648028129723,0.5359618201426111,0.4836275359179842,0.5279968285502555,0.4755924807298054,0.4818151484818151,0.5054597694392406,0.02779776285922089
assay_5,0.4858779265966589,0.4868458201791534,0.4920464517888028,0.5936076017708671,0.5444870157513836,0.4292572996276699,0.5053536859524227,0.05658579318023161
assay_11,0.5115483165797631,0.5451553664612084,0.5158984269835776,0.456008626147515,0.4759815720682247,0.4741471563176989,0.49645657742633126,0.03325745340706524
