,fold0,fold1,fold2,fold3,fold4,fold5,mean,std
assay_23,0.705323840589541,0.6509138251777207,0.7299422261390942,0.7065435499778934,0.7440701064361988,0.7310219478737996,0.7113025826990412,0.0332120341652079
assay_20,0.6414443116952078,0.6877065215187821,0.7025329377611893,0.746275443806308,0.7032077836696717,0.7225875231108725,0.7006257535936719,0.035343648340782886
assay_19,0.6549401478479493,0.8292975416263088,0.699064996368918,0.611401734440027,0.6658299835322757,0.575699060884246,0.6727055774499541,0.0880308717610107
assay_26,0.7395307821664412,0.5979176784329763,0.6476151714246952,0.6784679089026915,0.6782680607242011,0.586688137412775,0.6547479565106301,0.056950250350601465
assay_2,0.6429173923997941,0.6508998958798156,0.7324984172206395,0.6592386720591848,0.7178743167903059,0.5185696393425863,0.6536663889487211,0.07581889366522
assay_17,0.5432184235517569,0.6608361069801478,0.6084711595802722,0.6805211797313572,0.7610863153498811,0.624381745199589,0.6464191550655007,0.07361445919983474
assay_22,0.607811834823329,0.6342347638643935,0.6605728062518186,0.6380446405551963,0.6362158207590307,0.6830251568813661,0.6433175038558557,0.02567422387907939
assay_25,0.6325285834301428,0.636847378779746,0.6209479326466505,0.6245690615117367,0.64565403809347,0.6866132301455683,0.6411933707678857,0.02392936600836773
assay_24,0.6353292181069958,0.6601208095685029,0.5493202379167291,0.5783841040251296,0.5652085556063609,0.6991475602586712,0.6145850809137317,0.05943515194818495
assay_7,0.6186239928069994,0.5609819620983896,0.5176678078638862,0.5975002537011251,0.6777481096597788,0.5877561410207458,0.5933797111918209,0.05401075870271406
assay_28,0.5527048549312089,0.603680632068631,0.5512091211425755,0.6021371287653055,0.5979898644058586,0.6087383034614927,0.5860766507958454,0.026656089933330306
assay_18,0.5837981369852603,0.567828374369219,0.598022386158132,0.5659718857679203,0.5932043510890093,0.6042719069732321,0.5855161735571288,0.015906476909238194
assay_0,0.6167901234567902,0.5247507122507122,0.5814819611115908,0.612862994021275,0.5697654630403168,0.5931576684478841,0.5831348203880949,0.033784839671420555
assay_13,0.6630053570740355,0.6131578085601074,0.5201646090534979,0.5276435856146,0.6291312015949697,0.5326866549088771,0.5809648694676812,0.06157538382154445
assay_8,0.574210654457568,0.5561950520707584,0.5879829594853069,0.5802693602693604,0.5687619315700774,0.5741871450826674,0.573601183822623,0.010755525448036098
assay_10,0.5574686874121901,0.5243618918678871,0.5615689300411523,0.5932361768619079,0.5378193974390842,0.5927560698802529,0.5612018589170791,0.02807083804715978
assay_3,0.4261370353481616,0.6061966634290565,0.5413117682712859,0.4754308418524104,0.5877511498426531,0.6526063100137174,0.5482389614595475,0.08493614111665429
assay_16,0.5242338501711371,0.5228102125376759,0.5507301876867094,0.5335784076984411,0.5813835625282459,0.539112554949659,0.5419747959286447,0.021865140938916162
assay_27,0.496790475185537,0.5292426580621025,0.5565289848300781,0.5128344375656204,0.5422651422651423,0.6072714579659024,0.5408221926457305,0.038782682950020415
assay_9,0.5293373804982429,0.5207279070750386,0.5443136293025918,0.5355262021928688,0.5253695130315501,0.5890915791413305,0.5407277018736037,0.025078214754440904
assay_15,0.5821976891421335,0.5269500561167227,0.5206875124570598,0.5417626557977435,0.5007849480269261,0.5594739667203434,0.5386428047101549,0.0290964909966739
assay_6,0.6087351204572006,0.547767440011133,0.4612721417069243,0.5196394570358086,0.628376356154134,0.4598765432098766,0.5376111764291795,0.07154493284163425
assay_12,0.4954925315120217,0.5427859368188587,0.5211590393170203,0.5285195110591936,0.5368060653729172,0.5268030419940142,0.5252610210123375,0.016470552694830422
assay_14,0.5290550807217475,0.5168749094643486,0.5141017105667252,0.5364051871695561,0.5054328603126828,0.5289486047167152,0.5218030588252959,0.01156247050003759
assay_21,0.561168749790731,0.5700814289466771,0.5134573245684357,0.5462650414127208,0.4681648779249102,0.465142379871062,0.5207133004190895,0.046106095190789474
assay_1,0.514366529780788,0.5516946469865491,0.4809986643563642,0.535659100686772,0.4879669095239141,0.5236947473789579,0.5157300997855576,0.02732389433157129
assay_4,0.5659992392018535,0.5393527737215511,0.5052681992337165,0.5282614048046146,0.4771898883009994,0.4180384087791495,0.5056849856736474,0.052488266418346724
assay_11,0.5255962299987457,0.5076455935562465,0.5314843659859236,0.481184710351377,0.4691616843957864,0.4740166523112259,0.4981815394332176,0.02707470328737258
assay_5,0.4958183990442055,0.4868073201406534,0.5240651279298622,0.5769787279991362,0.4936994465730097,0.3798419230517996,0.49286849078977774,0.06460479459413743
