,fold0,fold1,fold2,fold3,fold4,fold5,mean,std
assay_19,0.7204116638078902,0.8507246376811595,0.7790927021696252,0.7743589743589744,0.8314999999999999,0.8772321428571429,0.805553353479132,0.05792043664428975
assay_23,0.7705882352941177,0.801219512195122,0.856091030789826,0.746779388083736,0.6626984126984128,0.8640625,0.7835731798435357,0.07507577990268695
assay_20,0.6793032786885245,0.8182382133995038,0.7167365611894777,0.8310965630114565,0.84665991902834,0.8049853372434017,0.782836645426784,0.06816838655410733
assay_2,0.7482517482517483,0.7737864077669904,0.845703125,0.8714107365792759,0.8171390013495278,0.5232558139534883,0.7632578054835051,0.12596385167245167
assay_25,0.7632432432432433,0.7430025445292621,0.724715013339801,0.6891290527654164,0.8189964157706093,0.7849846782431051,0.7540118246485729,0.0457314231600233
assay_22,0.6725352112676056,0.7129629629629629,0.7294776119402984,0.7345201238390093,0.8300180831826401,0.8440170940170939,0.7539218478682684,0.06809280849385181
assay_26,0.6958333333333333,0.6496598639455783,0.7760290556900726,0.7047619047619047,0.712962962962963,0.6964285714285714,0.7059459486870705,0.0408001253215201
assay_24,0.4310344827586206,0.6854395604395604,0.8161290322580645,0.6902173913043478,0.72,0.8611111111111112,0.7006552629786175,0.14999354741936918
assay_28,0.658102766798419,0.6267987486965589,0.6756024096385542,0.7410839160839161,0.7526547526547527,0.7203476482617586,0.6957650403556599,0.04995172146453947
assay_18,0.6918441558441559,0.6724472563204194,0.6883034361405738,0.7357778124512404,0.6605706731298887,0.7163029525032093,0.6942077143982478,0.02779096108766031
assay_8,0.6478899952584163,0.6755820807544946,0.6503989361702127,0.6878574777308955,0.6296296296296295,0.6802325581395349,0.6619317796138638,0.022658323495420612
assay_17,0.5398166023166022,0.5970924195223261,0.6016894087069525,0.7312378167641326,0.7855096193205076,0.6557659208261618,0.6518519645761137,0.09192237315840072
assay_11,0.6006944444444444,0.6545454545454545,0.4897260273972602,0.78125,0.56951871657754,0.7678571428571429,0.6439319643036403,0.11446626098552543
assay_4,0.6307692307692309,0.6172839506172839,0.640909090909091,0.712,0.5238095238095238,0.6166666666666667,0.6235730771286326,0.060351737138401654
assay_7,0.5527426160337553,0.6914728682170542,0.574,0.6355042016806722,0.7677699403147042,0.4857142857142857,0.6178673186600786,0.10181318696766159
assay_10,0.5719298245614036,0.5396518375241779,0.6258267195767195,0.7092307692307692,0.4630078835657975,0.7391304347826086,0.6081295782069128,0.10464778397193879
assay_12,0.5457128099173554,0.6573493975903614,0.5338207447927624,0.5833383099432666,0.644054935882844,0.6333746898263027,0.5996084813254821,0.05281504657157144
assay_13,0.4876543209876543,0.825,0.55,0.4844290657439447,0.5833333333333334,0.6666666666666666,0.5995138977885998,0.12947895341531387
assay_14,0.5866012440598076,0.5779903300399412,0.604470639799767,0.635469011725293,0.5561693147964251,0.6241725389707453,0.5974788465653299,0.029696103998147573
assay_21,0.5958333333333333,0.6339355852317361,0.4572769953051644,0.5789473684210527,0.564935064935065,0.7166666666666667,0.5912658356488364,0.08528188722395029
assay_15,0.79375,0.4654377880184332,0.5516666666666666,0.5852864583333333,0.6041666666666666,0.4893939393939394,0.5816169198465065,0.11698041438735292
assay_0,0.5881481481481482,0.5875706214689266,0.5473856209150327,0.6654761904761904,0.5430346051464064,0.5073170731707317,0.5731553765542393,0.054519241626338116
assay_9,0.5620253164556962,0.5577850665637661,0.5343608597285068,0.6661112535247373,0.532608695652174,0.5860389610389609,0.5731550254939735,0.04963054371393938
assay_5,0.5879699248120301,0.5272108843537415,0.5266272189349113,0.7115749525616699,0.5631578947368421,0.4722222222222222,0.5647938496035696,0.08188183701601866
assay_1,0.5557894736842105,0.5719246031746031,0.4283545840922889,0.6506456241032998,0.5111111111111111,0.5368782161234992,0.5424506020481688,0.07319005605532762
assay_3,0.3377777777777777,0.6011396011396012,0.5890151515151515,0.4913419913419913,0.6925207756232687,0.5,0.5352992162329651,0.1217636790354139
assay_27,0.5108225108225108,0.4722222222222222,0.628125,0.5297142857142857,0.5337301587301587,0.5025641025641026,0.5295297133422133,0.05310359778539749
assay_16,0.5442424242424242,0.49039780521262,0.4589982269503546,0.4784246991612981,0.4731934731934731,0.5259497057249866,0.49520105574752615,0.033015242413433475
assay_6,0.5666666666666667,0.5584,0.474074074074074,0.525,0.5265151515151516,0.0555555555555555,0.45103524130190786,0.19646922912801848
