,fold0,fold1,fold2,fold3,fold4,fold5,mean,std
assay_19,0.8310463121783876,0.9115942028985508,0.873767258382643,0.8064102564102564,0.8130000000000001,0.8348214285714286,0.8451065764068777,0.0401839567335915
assay_24,0.7586206896551724,0.7637362637362638,0.9032258064516128,0.7934782608695652,0.8066666666666668,1.0,0.8376212812298802,0.0951605860926347
assay_22,0.7649647887323944,0.7817460317460319,0.7742537313432836,0.8869969040247678,0.8688969258589512,0.8418803418803419,0.8197897872642951,0.05280708360485913
assay_25,0.8051891891891892,0.8323155216284986,0.7564879941789958,0.7730451366815003,0.8312852022529442,0.8432073544433095,0.8069217330624063,0.03535323735140367
assay_20,0.7059426229508197,0.8281637717121589,0.7483797178802898,0.8098199672667757,0.8036437246963561,0.7873900293255132,0.7805566389719855,0.04539844900290161
assay_2,0.7296037296037295,0.7436893203883495,0.8515625,0.8551810237203495,0.7881241565452092,0.6976744186046512,0.7776391914770482,0.06548540299633915
assay_23,0.770053475935829,0.7565040650406504,0.8206157965194111,0.7560386473429952,0.7281746031746031,0.8171875,0.7747623480022482,0.03682109604641123
assay_26,0.8208333333333334,0.6717687074829932,0.7530266343825667,0.765079365079365,0.7708333333333334,0.7321428571428572,0.7522807051257415,0.049184834330207504
assay_17,0.6242760617760618,0.6859813084112149,0.7040285899935023,0.8245614035087719,0.8031109291854277,0.7710843373493975,0.7355071050373959,0.07691908865877227
assay_18,0.712935064935065,0.7248254480377083,0.7468595728041449,0.7173662037759401,0.7220447284345047,0.7123351616291282,0.7227276966027484,0.012805158953249983
assay_28,0.6363636363636364,0.6278415015641292,0.7599397590361445,0.702972027972028,0.7952602952602952,0.7724948875255625,0.7158120179536326,0.07167699273376811
assay_8,0.671977240398293,0.6865605658709107,0.7057845744680851,0.7127051101734646,0.6483091787439613,0.7003391472868217,0.6876126361569227,0.024133586127316916
assay_7,0.6886075949367089,0.641343669250646,0.5653333333333334,0.6060924369747899,0.8209441128594683,0.6261904761904762,0.6580852705909038,0.08950793319731448
assay_4,0.7153846153846154,0.654320987654321,0.6681818181818182,0.6159999999999999,0.638095238095238,0.6333333333333333,0.6542193321082209,0.03490868639421898
assay_10,0.5925438596491227,0.6242055816523902,0.6817129629629629,0.7351282051282051,0.5576106731352335,0.7320971867007673,0.6538830782047803,0.07403289730219925
assay_0,0.6977777777777778,0.5781544256120527,0.5925925925925926,0.75,0.6078083407275954,0.6024390243902439,0.6381286935167104,0.06919064682620939
assay_3,0.4,0.6752136752136753,0.5492424242424242,0.487012987012987,0.7285318559556787,0.95,0.6316668237374609,0.1969787832135007
assay_11,0.6666666666666667,0.6333333333333333,0.5128424657534246,0.7211538461538463,0.5641711229946523,0.6696428571428572,0.6279683820074634,0.07651235115347156
assay_9,0.5670886075949368,0.5973374493536562,0.6057692307692307,0.7141758523455525,0.5893719806763285,0.6212121212121211,0.6158258736586376,0.051419485464546465
assay_15,0.68125,0.5238095238095237,0.5922222222222222,0.6634114583333334,0.5671875,0.5969696969696969,0.6041417335557959,0.05911171996968846
assay_13,0.4567901234567901,0.80625,0.5722222222222222,0.5778546712802768,0.6547619047619049,0.5185185185185186,0.5977329067066187,0.12158734434756045
assay_14,0.5824093034037786,0.5698969939037208,0.5836284155526592,0.6092964824120604,0.5751148212512414,0.6049540892590219,0.5875500176304137,0.016024229785253728
assay_12,0.5205750688705235,0.6260240963855421,0.5109404586576899,0.6016124216183936,0.6241748235829728,0.6133167907361456,0.5827739433085446,0.05272781414232704
assay_21,0.5875,0.5082482325216026,0.4610328638497652,0.6509695290858727,0.5064935064935066,0.5722222222222222,0.5477443923621615,0.06872491942373829
assay_16,0.5787878787878789,0.540877914951989,0.5755762411347518,0.4577610307524006,0.5224035224035224,0.5906902086677368,0.5443494661163799,0.04959801088210803
assay_27,0.4653679653679654,0.4926624737945493,0.6463541666666667,0.5542857142857144,0.5800264550264551,0.4222222222222222,0.5268198328939289,0.08216750402826631
assay_5,0.5097744360902257,0.5034013605442177,0.5956607495069033,0.6242884250474383,0.5315789473684209,0.3333333333333333,0.5163395419817565,0.1018614984702882
assay_1,0.5385263157894736,0.5892857142857142,0.3876745598057073,0.5899091343854614,0.444,0.4965694682675814,0.507660865422323,0.08118190455816923
assay_6,0.487719298245614,0.5792,0.5037037037037037,0.475,0.5378787878787878,0.4166666666666666,0.5000280760824619,0.05557232286438501
