,fold0,fold1,fold2,fold3,fold4,fold5,mean,std
assay_19,0.8353344768439108,0.9159420289855073,0.893491124260355,0.8025641025641025,0.8105000000000001,0.8683035714285714,0.8543558840137412,0.045796286716151366
assay_22,0.7799295774647887,0.8333333333333333,0.8283582089552239,0.8839009287925697,0.8435804701627486,0.891025641025641,0.8433546932890508,0.04065620484468773
assay_24,0.8103448275862069,0.7747252747252747,0.8838709677419355,0.7418478260869565,0.8200000000000001,1.0,0.8384648160233956,0.09239544288113001
assay_25,0.8257297297297297,0.8175572519083969,0.8035411108416202,0.8292011019283747,0.8571428571428572,0.8426966292134832,0.829311446794077,0.018808842048538936
assay_20,0.6777663934426229,0.8095533498759305,0.7632481890964544,0.8504091653027823,0.8254048582995951,0.8504398826979471,0.7961369731192219,0.06636889534835472
assay_2,0.7552447552447552,0.737864077669903,0.8759765625,0.9051186017478152,0.8110661268556005,0.6395348837209303,0.787467501289834,0.0975862642200875
assay_23,0.7759358288770054,0.748780487804878,0.8192771084337349,0.7576489533011272,0.7003968253968254,0.9078125,0.7849752839689286,0.07149491705540131
assay_26,0.8,0.6938775510204082,0.7602905569007264,0.7507936507936508,0.8148148148148149,0.875,0.7824627622549333,0.06206324087982036
assay_18,0.7526233766233765,0.752476495349482,0.7369861674568651,0.7833983460758309,0.7703352796445228,0.8146808262340997,0.7684167485640295,0.027784519454935527
assay_28,0.6411067193675889,0.6939520333680919,0.7670682730923695,0.7298951048951049,0.8104118104118104,0.7714723926380368,0.7356510556288337,0.0609425157659719
assay_7,0.7645569620253165,0.7054263565891473,0.5780000000000001,0.6769957983193277,0.9072164948453608,0.7023809523809523,0.7224294273600175,0.10912021754632253
assay_17,0.6353764478764478,0.6870197300103842,0.667966211825861,0.77046783625731,0.7507163323782235,0.7943201376936317,0.7176444493403097,0.06314593513275263
assay_8,0.7017543859649121,0.706822870615974,0.7289893617021277,0.7260196905766526,0.6880032206119162,0.7218992248062015,0.7122481257129641,0.016065093121878964
assay_10,0.611842105263158,0.6465874550980935,0.7256944444444444,0.7751282051282052,0.6264402668283808,0.7474424552429668,0.6888558220008747,0.06905914960746075
assay_4,0.6538461538461539,0.6567901234567901,0.6181818181818182,0.696,0.7904761904761904,0.6833333333333333,0.6831046032157143,0.059090571240387184
assay_11,0.5694444444444444,0.703030303030303,0.5924657534246576,0.7740384615384616,0.6203208556149732,0.7723214285714285,0.671936874437378,0.09050211575302015
assay_9,0.5955209347614411,0.6467296932278604,0.6097285067873304,0.6967444245065367,0.5933402346445825,0.6336580086580086,0.6292869670976265,0.03921405141716511
assay_0,0.6296296296296297,0.576271186440678,0.5871459694989107,0.7333333333333333,0.5767524401064773,0.6268292682926829,0.6216603045502853,0.059714690557148176
assay_3,0.4044444444444444,0.6396011396011396,0.5700757575757576,0.5562770562770564,0.6869806094182825,0.8,0.6095631678861134,0.13389121180531854
assay_12,0.5130853994490359,0.6393574297188755,0.5440774247843467,0.6384592415646463,0.6586235677972532,0.6484698097601324,0.6070121455123817,0.061968745016870844
assay_15,0.6699999999999999,0.5514592933947773,0.5772222222222223,0.677734375,0.5505208333333333,0.6106060606060606,0.6062571307593988,0.056821521905761486
assay_14,0.5956419271336398,0.5812311681031462,0.613755637319923,0.6117881072026801,0.5786215243296922,0.6199551569506726,0.6001655868399589,0.01763248068924229
assay_13,0.4012345679012346,0.7749999999999999,0.5888888888888889,0.4775086505190311,0.5714285714285715,0.6111111111111112,0.5708619649748062,0.12736240991372644
assay_27,0.4902597402597403,0.570230607966457,0.6786458333333334,0.5640000000000001,0.5952380952380951,0.5128205128205128,0.5685324649363565,0.06647106521570254
assay_16,0.6371428571428571,0.5213991769547325,0.5654920212765957,0.5032211012519752,0.5578865578865579,0.6169074371321562,0.5670081919408124,0.05223654678770014
assay_5,0.4691729323308271,0.4931972789115646,0.571992110453649,0.7020872865275142,0.6105263157894737,0.361111111111111,0.53468117252069,0.11942211523267898
assay_1,0.5587368421052632,0.5729166666666667,0.4292653309046752,0.6465805834528934,0.4575555555555556,0.5360205831903945,0.5335125936459081,0.07951926488092208
assay_21,0.6166666666666667,0.4791830322073842,0.412206572769953,0.5632502308402585,0.5243506493506495,0.5722222222222222,0.527979895676189,0.07330005587930379
assay_6,0.4561403508771929,0.5144,0.5,0.5318181818181817,0.5378787878787878,0.4722222222222222,0.5020765904660641,0.032631149710195456
