,test_roc_auc
assay_19,0.8353344768439108
assay_25,0.8257297297297297
assay_24,0.8103448275862069
assay_26,0.8
assay_22,0.7799295774647887
assay_23,0.7759358288770054
assay_7,0.7645569620253165
assay_2,0.7552447552447552
assay_18,0.7526233766233765
assay_8,0.7017543859649121
assay_20,0.6777663934426229
assay_15,0.6699999999999999
assay_4,0.6538461538461539
assay_28,0.6411067193675889
assay_16,0.6371428571428571
assay_17,0.6353764478764478
assay_0,0.6296296296296297
assay_21,0.6166666666666667
assay_10,0.611842105263158
assay_14,0.5956419271336398
assay_9,0.5955209347614411
assay_11,0.5694444444444444
assay_1,0.5587368421052632
assay_12,0.5130853994490359
assay_27,0.4902597402597403
assay_5,0.46917293233082713
assay_6,0.45614035087719296
assay_3,0.4044444444444444
assay_13,0.4012345679012346
