,test_roc_auc
assay_24,0.8888888888888888
assay_22,0.8098290598290598
assay_25,0.8013278855975485
assay_26,0.7589285714285714
assay_19,0.7522321428571428
assay_23,0.7515625
assay_20,0.7404692082111437
assay_11,0.7232142857142858
assay_28,0.6932515337423313
assay_10,0.6924552429667519
assay_18,0.6507177033492823
assay_2,0.6395348837209303
assay_17,0.6299483648881239
assay_8,0.6235465116279071
assay_1,0.6029159519725558
assay_12,0.5971877584780811
assay_9,0.5952380952380952
assay_14,0.576873798846893
assay_21,0.5333333333333333
assay_0,0.526829268292683
assay_15,0.5151515151515151
assay_4,0.49999999999999994
assay_13,0.4814814814814815
assay_7,0.4666666666666667
assay_6,0.4444444444444445
assay_27,0.423931623931624
assay_16,0.4114499732477261
assay_3,0.375
assay_5,0.32407407407407407
