,test_roc_auc
assay_24,0.9444444444444444
assay_22,0.9337606837606838
assay_20,0.8519061583577712
assay_23,0.790625
assay_19,0.7879464285714286
assay_17,0.7839931153184165
assay_10,0.7576726342710998
assay_25,0.7252298263534219
assay_26,0.7232142857142858
assay_18,0.7022989847123352
assay_11,0.7008928571428572
assay_8,0.6560077519379844
assay_7,0.6547619047619048
assay_13,0.6481481481481481
assay_0,0.6463414634146342
assay_12,0.6277915632754343
assay_3,0.625
assay_1,0.6234991423670668
assay_2,0.622093023255814
assay_14,0.6176062353192397
assay_9,0.6071428571428571
assay_28,0.6012269938650306
assay_27,0.5897435897435898
assay_4,0.5833333333333333
assay_15,0.5575757575757576
assay_16,0.4943820224719101
assay_5,0.4722222222222222
assay_21,0.43333333333333335
assay_6,0.3888888888888889
