,test_roc_auc
assay_24,1.0
assay_22,0.8568376068376067
assay_20,0.8475073313782991
assay_23,0.84375
assay_19,0.8325892857142857
assay_25,0.8289070480081716
assay_17,0.8141135972461274
assay_26,0.7946428571428572
assay_10,0.778772378516624
assay_18,0.7516629711751664
assay_3,0.75
assay_0,0.748780487804878
assay_28,0.7402862985685071
assay_11,0.7366071428571428
assay_2,0.7267441860465116
assay_8,0.7097868217054263
assay_12,0.6910669975186104
assay_16,0.6827180310326377
assay_7,0.6476190476190476
assay_14,0.6391736066623959
assay_1,0.6380789022298456
assay_4,0.6333333333333333
assay_9,0.6282467532467533
assay_15,0.6106060606060606
assay_6,0.5555555555555557
assay_21,0.5333333333333334
assay_13,0.5185185185185186
assay_27,0.4735042735042735
assay_5,0.3425925925925926
